S.No.,District Name,No. of block,No. of Har Ghar Jal Block-Reported,No. of Har Ghar Jal Block-Certified,No. of panchayats,No. of Har Ghar Jal Panchayat-Reported,No. of Har Ghar Jal Panchayat-Certified,No. of villages,No. of Har Ghar Jal Village-Reported,No. of Har Ghar Jal Village-Certified
1,Ahmednagar,14,0,0,1312,250,219,1575,333,296
2,Akola,7,1,1,536,305,225,830,528,404
3,Amravati,14,6,0,840,746,625,1588,1449,1208
4,Beed,11,0,0,1031,334,185,1356,485,268
5,Bhandara,7,0,0,541,161,132,766,265,221
6,Buldhana,13,0,0,870,240,217,1251,400,358
7,Chandrapur,15,0,0,825,239,126,1401,516,301
8,Chhatrapati Sambhajinagar,9,0,0,869,456,86,1297,782,163
9,Dharashiv,8,0,0,622,449,145,718,532,184
10,Dhule,4,0,0,540,472,218,670,588,269
11,Gadchiroli,12,1,1,458,254,161,1475,1147,923
12,Gondia,8,0,0,547,84,49,869,162,97
13,Hingoli,5,0,0,563,279,91,656,336,118
14,Jalgaon,15,0,0,1153,758,531,1487,1013,729
15,Jalna,8,5,0,778,773,685,951,945,848
16,Kolhapur,12,1,1,1025,813,660,1191,963,783
17,Latur,10,1,0,785,732,606,921,866,710
18,Nagpur,13,0,0,768,544,376,1518,1186,868
19,Nanded,16,0,0,1309,347,243,1533,448,322
20,Nandurbar,6,0,0,594,61,19,936,89,24
21,Nashik,15,0,0,1385,528,389,1911,703,524
22,Palghar,8,0,0,473,32,29,899,72,66
23,Parbhani,9,0,0,704,211,136,825,258,163
24,Pune,13,0,0,1383,288,135,1833,438,217
25,Raigad,15,3,0,808,440,364,1830,1157,971
26,Ratnagiri,9,0,0,846,193,166,1534,586,504
27,Sangli,10,0,0,699,211,161,726,224,171
28,Satara,11,0,0,1494,664,333,1742,764,371
29,Sindhudurg,8,0,0,431,103,80,740,230,181
30,Solapur,11,6,0,1022,1010,587,1128,1116,650
31,Thane,5,0,0,431,76,66,791,201,160
32,Wardha,8,1,1,520,407,395,880,733,717
33,Washim,6,0,0,491,203,99,680,313,151
34,Yavatmal,16,0,0,1199,253,185,1789,488,379
