S.No.,District Name,No. of block,No. of Har Ghar Jal Block-Reported,No. of Har Ghar Jal Block-Certified,No. of panchayats,No. of Har Ghar Jal Panchayat-Reported,No. of Har Ghar Jal Panchayat-Certified,No. of villages,No. of Har Ghar Jal Village-Reported,No. of Har Ghar Jal Village-Certified,Block_Cert_%,Panchayat_coverage_%,Village_certification_%,Create_performance_score,Village_Gap,Panchayat_Gap,Block_Gap,Implementation_Efficiency
1,Ahmednagar,14,0,0,1312,250,219,1575,333,296,0.0,19.054878048780488,18.793650793650794,12.616176280810427,1279,1062,14,88.88888888888889
2,Akola,7,1,1,536,305,225,830,528,404,14.285714285714285,56.90298507462687,48.674698795180724,39.954466051840626,426,231,6,76.51515151515152
3,Amravati,14,6,0,840,746,625,1588,1449,1208,0.0,88.80952380952381,76.0705289672544,54.9600175922594,380,94,14,83.36783988957902
4,Beed,11,0,0,1031,334,185,1356,485,268,0.0,32.39573229873909,19.76401179941003,17.386581366049707,1088,697,11,55.25773195876289
5,Bhandara,7,0,0,541,161,132,766,265,221,0.0,29.75970425138632,28.851174934725847,19.53695972870406,545,380,7,83.39622641509435
6,Buldhana,13,0,0,870,240,217,1251,400,358,0.0,27.586206896551722,28.617106314948042,18.734437737166587,893,630,13,89.5
7,Chandrapur,15,0,0,825,239,126,1401,516,301,0.0,28.96969696969697,21.484653818700927,16.818116929465965,1100,586,15,58.333333333333336
8,Chhatrapati Sambhajinagar,9,0,0,869,456,86,1297,782,163,0.0,52.47410817031071,12.567463377023902,21.680523849111538,1134,413,9,20.843989769820972
9,Dharashiv,8,0,0,622,449,145,718,532,184,0.0,72.18649517684888,25.62674094707521,32.60441204130803,534,173,8,34.58646616541353
10,Dhule,4,0,0,540,472,218,670,588,269,0.0,87.4074074074074,40.14925373134328,42.51888704625023,401,68,4,45.74829931972789
11,Gadchiroli,12,1,1,458,254,161,1475,1147,923,8.333333333333332,55.45851528384279,62.57627118644068,42.1227066012056,552,204,11,80.47079337401918
12,Gondia,8,0,0,547,84,49,869,162,97,0.0,15.356489945155394,11.162255466052933,8.83958180373611,772,463,8,59.876543209876544
13,Hingoli,5,0,0,563,279,91,656,336,118,0.0,49.55595026642984,17.98780487804878,22.514585048159542,538,284,5,35.11904761904761
14,Jalgaon,15,0,0,1153,758,531,1487,1013,729,0.0,65.74154379878577,49.02488231338265,38.255475370722806,758,395,15,71.964461994077
15,Jalna,8,5,0,778,773,685,951,945,848,0.0,99.3573264781491,89.16929547844374,62.84220731886429,103,5,8,89.73544973544973
16,Kolhapur,12,1,1,1025,813,660,1191,963,783,8.333333333333332,79.31707317073172,65.74307304785894,51.131159850641325,408,212,11,81.30841121495327
17,Latur,10,1,0,785,732,606,921,866,710,0.0,93.2484076433121,77.0901194353963,56.779509026236134,211,53,10,81.98614318706697
18,Nagpur,13,0,0,768,544,376,1518,1186,868,0.0,70.83333333333334,57.180500658761524,42.67127799736496,650,224,13,73.18718381112986
19,Nanded,16,0,0,1309,347,243,1533,448,322,0.0,26.508785332314744,21.00456621004566,15.837783847453467,1211,962,16,71.875
20,Nandurbar,6,0,0,594,61,19,936,89,24,0.0,10.26936026936027,2.564102564102564,4.277820944487611,912,533,6,26.96629213483146
21,Nashik,15,0,0,1385,528,389,1911,703,524,0.0,38.122743682310464,27.420198848770276,21.847647510360247,1387,857,15,74.53769559032717
22,Palghar,8,0,0,473,32,29,899,72,66,0.0,6.765327695560254,7.341490545050055,4.702272746870103,833,441,8,91.66666666666666
23,Parbhani,9,0,0,704,211,136,825,258,163,0.0,29.97159090909091,19.757575757575758,16.57638888888889,662,493,9,63.17829457364341
24,Pune,13,0,0,1383,288,135,1833,438,217,0.0,20.824295010845987,11.838516093835242,10.887603701560408,1616,1095,13,49.54337899543379
25,Raigad,15,3,0,808,440,364,1830,1157,971,0.0,54.45544554455446,53.060109289617486,35.838518278057315,859,368,15,83.92394122731201
26,Ratnagiri,9,0,0,846,193,166,1534,586,504,0.0,22.81323877068558,32.85528031290743,18.556173027864336,1030,653,9,86.00682593856655
27,Sangli,10,0,0,699,211,161,726,224,171,0.0,30.185979971387695,23.553719008264462,17.913232993217388,555,488,10,76.33928571428571
28,Satara,11,0,0,1494,664,333,1742,764,371,0.0,44.44444444444444,21.29735935706085,21.91393460050176,1371,830,11,48.56020942408377
29,Sindhudurg,8,0,0,431,103,80,740,230,181,0.0,23.897911832946637,24.45945945945946,16.119123764135367,559,328,8,78.69565217391305
30,Solapur,11,6,0,1022,1010,587,1128,1116,650,0.0,98.82583170254404,57.62411347517731,52.14998172590712,478,12,11,58.24372759856631
31,Thane,5,0,0,431,76,66,791,201,160,0.0,17.633410672853827,20.2275600505689,12.620323574474241,631,355,5,79.60199004975125
32,Wardha,8,1,1,520,407,395,880,733,717,12.5,78.26923076923077,81.47727272727273,57.415501165501176,163,113,7,97.81718963165075
33,Washim,6,0,0,491,203,99,680,313,151,0.0,41.34419551934827,22.205882352941174,21.183359290763146,529,288,6,48.242811501597444
34,Yavatmal,16,0,0,1199,253,185,1789,488,379,0.0,21.100917431192663,21.185019564002236,14.095312331731634,1410,946,16,77.6639344262295
